match,value
https://www.flashscore.sk/zapas/vechPLzn/#/porovnanie-kurzov/,1.26
https://www.flashscore.sk/zapas/QDWFRF69/#/porovnanie-kurzov/,1.23
https://www.flashscore.sk/zapas/SKglQ1Lu/#/porovnanie-kurzov/,1.48
https://www.flashscore.sk/zapas/2uotcTmo/#/porovnanie-kurzov/,2.22
https://www.flashscore.sk/zapas/x2FPhMqU/#/porovnanie-kurzov/,1.44
https://www.flashscore.sk/zapas/n7F3a1Wt/#/porovnanie-kurzov/,2.04
https://www.flashscore.sk/zapas/IB3FX6jm/#/porovnanie-kurzov/,1.2
https://www.flashscore.sk/zapas/CY2JWQ5g/#/porovnanie-kurzov/,1.11
https://www.flashscore.sk/zapas/n7F3a1Wt/#/porovnanie-kurzov/,3.74
https://www.flashscore.sk/zapas/AcfP0kxC/#/porovnanie-kurzov/,1.2
https://www.flashscore.sk/zapas/OtExS5T7/#/porovnanie-kurzov/,1.61
https://www.flashscore.sk/zapas/0IcUB7Df/#/porovnanie-kurzov/,2.43
https://www.flashscore.sk/zapas/8EDUrwtq/#/porovnanie-kurzov/,2.69
https://www.flashscore.sk/zapas/E7WLhmhF/#/porovnanie-kurzov/,1.67
https://www.flashscore.sk/zapas/feXUvMBc/#/porovnanie-kurzov/,1.15
https://www.flashscore.sk/zapas/E7WLhmhF/#/porovnanie-kurzov/,1.94
https://www.flashscore.sk/zapas/8GStE59m/#/porovnanie-kurzov/,6.32
https://www.flashscore.sk/zapas/8fVKo9El/#/porovnanie-kurzov/,2.32
https://www.flashscore.sk/zapas/E7WLhmhF/#/porovnanie-kurzov/,3.44
https://www.flashscore.sk/zapas/E7WLhmhF/#/porovnanie-kurzov/,3.67
https://www.flashscore.sk/zapas/fB5JDum7/#/porovnanie-kurzov/,1.74
https://www.flashscore.sk/zapas/EcT3MXkM/#/porovnanie-kurzov/,1.13
https://www.flashscore.sk/zapas/hrBRU4z6/#/porovnanie-kurzov/,2.33
https://www.flashscore.sk/zapas/t4iMjncP/#/porovnanie-kurzov/,1.26
https://www.flashscore.sk/zapas/lfSH9sKd/#/porovnanie-kurzov/,1.82
https://www.flashscore.sk/zapas/lfSH9sKd/#/porovnanie-kurzov/,2.48
https://www.flashscore.sk/zapas/lfSH9sKd/#/porovnanie-kurzov/,6.11
https://www.flashscore.sk/zapas/GMTiWflT/#/porovnanie-kurzov/,1.1
https://www.flashscore.sk/zapas/fDOxFofs/#/porovnanie-kurzov/,1.41
https://www.flashscore.sk/zapas/GMTiWflT/#/porovnanie-kurzov/,1.18
https://www.flashscore.sk/zapas/hrBRU4z6/#/porovnanie-kurzov/,3.11
https://www.flashscore.sk/zapas/fRc3vCHs/#/porovnanie-kurzov/,1.13
https://www.flashscore.sk/zapas/fRc3vCHs/#/porovnanie-kurzov/,1.17
https://www.flashscore.sk/zapas/GMTiWflT/#/porovnanie-kurzov/,1.41
https://www.flashscore.sk/zapas/fRc3vCHs/#/porovnanie-kurzov/,1.61
https://www.flashscore.sk/zapas/M36KREdp/#/porovnanie-kurzov/,1.93
https://www.flashscore.sk/zapas/GMTiWflT/#/porovnanie-kurzov/,1.53
https://www.flashscore.sk/zapas/0QZOxu5o/#/porovnanie-kurzov/,1.27
https://www.flashscore.sk/zapas/0UZHeTMR/#/porovnanie-kurzov/,1.88
https://www.flashscore.sk/zapas/0QZOxu5o/#/porovnanie-kurzov/,1.38
https://www.flashscore.sk/zapas/I505t2ZH/#/porovnanie-kurzov/,4.45
https://www.flashscore.sk/zapas/jgVJaPZu/#/porovnanie-kurzov/,2.02
https://www.flashscore.sk/zapas/UqUNbqkn/#/porovnanie-kurzov/,2.43
https://www.flashscore.sk/zapas/OhxPQrgg/#/porovnanie-kurzov/,4.07
https://www.flashscore.sk/zapas/KlPNQYBj/#/porovnanie-kurzov/,1.17
https://www.flashscore.sk/zapas/GMTiWflT/#/porovnanie-kurzov/,1.97
https://www.flashscore.sk/zapas/GIwPD7Ah/#/porovnanie-kurzov/,1.56
https://www.flashscore.sk/zapas/GIwPD7Ah/#/porovnanie-kurzov/,4.85
