match,value
https://www.flashscore.sk/zapas/lpLwLHXt/#/porovnanie-kurzov/,2.18
Gibraltar - Francúzsko,2.7483588621444284
Rakúsko U21 - Island U21,6.285714285714292
Wales - Arménsko,1.434977578475355
Hodonín - Frýdlant nad Ostravicí,1.2748072480307258
IF Karlstad - Sandviken IF,36.83121597096186
IF Karlstad - Sandviken IF,36.83121597096186
IF Karlstad - Sandviken IF,36.83121597096186
Belgicko - Rakúsko,1.24444444444444
Faerské ostrovy - Česko,3.59375
IF Karlstad - Sandviken IF,36.83121597096186
IF Karlstad - Sandviken IF,37.460288808664245
IF Karlstad - Sandviken IF,40.644247787610624
IF Karlstad - Sandviken IF,41.51142355008787
IF Karlstad - Sandviken IF,47.86317567567568
IF Karlstad - Sandviken IF,49.97333333333333
Austrália Jun - Francúzsko Jun,4.140476190476178
Bielorusko - Kosovo,1.4364640883977984
Izrael - Andorra,3.779249448123608
Izrael - Andorra,4.155701754385959
Fínsko - San Maríno,1.843137254901961
Vietnam - Sýria,2.929782082324465
Írsko - Gibraltar,1.955399061032864
Izrael - Andorra,4.7722342733188725
Anglicko - Severné Macedónsko,38.5622775800712
Írsko - Gibraltar,2.11241217798596
Slovinsko - Dánsko,2.5971563981042607
Izrael - Andorra,5.731343283582092
Írsko - Gibraltar,2.886574074074062
Linköping Ž - Djurgarden Ž,1.97794117647058
Island - Portugalsko,3.22115384615384
Sudán - Mauretánia,3.423423423423415
Sudán - Mauretánia,5.530434782608708
Lichtenštajnsko - Slovensko,23.20850202429149
Irán U23 - Irak U23,2.2222222222222143
Island - Portugalsko,4.121779859484775
Austin FC - Dallas,25.763537906137174
Roa Ž - Honefoss Ž,4.440191387559821
Austin FC - Dallas,27.03052064631956
Austin FC - Dallas,29.112099644128108
Austin FC - Dallas,30.3433628318584
