match,value
https://www.flashscore.sk/zapas/lpLwLHXt/#/porovnanie-kurzov/,2.18
https://www.flashscore.sk/zapas/b3v7wQm8/#/porovnanie-kurzov/,1.5
https://www.flashscore.sk/zapas/figPXcj1/#/porovnanie-kurzov/,2.02
https://www.flashscore.sk/zapas/figPXcj1/#/porovnanie-kurzov/,3.98
https://www.flashscore.sk/zapas/8feiyENg/#/porovnanie-kurzov/home-away/zakladny-cas,1.56
https://www.flashscore.sk/zapas/nR3AG7kt/#/porovnanie-kurzov/home-away/zakladny-cas,16.1
https://www.flashscore.sk/zapas/A9UpmkLl/#/porovnanie-kurzov/,1.15
https://www.flashscore.sk/zapas/A9UpmkLl/#/porovnanie-kurzov/,1.44
https://www.flashscore.sk/zapas/A9UpmkLl/#/porovnanie-kurzov/,1.8
https://www.flashscore.sk/zapas/lYKx9ykN/#/porovnanie-kurzov/home-away/zakladny-cas,1.26
https://www.flashscore.sk/zapas/lrAklLIu/#/porovnanie-kurzov/,1.36
https://www.flashscore.sk/zapas/vkM1q7KD/#/porovnanie-kurzov/,1.7
https://www.flashscore.sk/zapas/vPYO36zc/#/porovnanie-kurzov/,2.86
https://www.flashscore.sk/zapas/vkM1q7KD/#/porovnanie-kurzov/,2.74
https://www.flashscore.sk/zapas/ADU0apqG/#/porovnanie-kurzov/,5.04
https://www.flashscore.sk/zapas/rDq7jj5E/#/porovnanie-kurzov/,1.6
https://www.flashscore.sk/zapas/0hr4Lhxo/#/porovnanie-kurzov/home-away/zakladny-cas,4.74
https://www.flashscore.sk/zapas/MaKlyfYF/#/porovnanie-kurzov/home-away/zakladny-cas,3.56
https://www.flashscore.sk/zapas/bsNHUiBq/#/porovnanie-kurzov/home-away/zakladny-cas,3.36
https://www.flashscore.sk/zapas/MaKlyfYF/#/porovnanie-kurzov/home-away/zakladny-cas,7.46
https://www.flashscore.sk/zapas/rXog7ccE/#/porovnanie-kurzov/,2.12
https://www.flashscore.sk/zapas/buY4DSKt/#/porovnanie-kurzov/home-away/zakladny-cas,1.2
https://www.flashscore.sk/zapas/4xFUoiD1/#/porovnanie-kurzov/home-away/zakladny-cas,1.16
https://www.flashscore.sk/zapas/MaKlyfYF/#/porovnanie-kurzov/home-away/zakladny-cas,8.43
https://www.flashscore.sk/zapas/IDMWn9ML/#/porovnanie-kurzov/home-away/zakladny-cas,1.23
https://www.flashscore.sk/zapas/buY4DSKt/#/porovnanie-kurzov/home-away/zakladny-cas,1.91
https://www.flashscore.sk/zapas/IDMWn9ML/#/porovnanie-kurzov/home-away/zakladny-cas,1.25
https://www.flashscore.sk/zapas/xQcfpVKD/#/porovnanie-kurzov/,4.79
https://www.flashscore.sk/zapas/r9LF8SAo/#/porovnanie-kurzov/home-away/zakladny-cas,1.07
https://www.flashscore.sk/zapas/j9mYkzHe/#/porovnanie-kurzov/home-away/zakladny-cas,5.49
https://www.flashscore.sk/zapas/K0khesTG/#/porovnanie-kurzov/home-away/zakladny-cas,2.67
https://www.flashscore.sk/zapas/MmYG8t6c/#/porovnanie-kurzov/home-away/zakladny-cas,1.41
https://www.flashscore.sk/zapas/xj9iiYRr/#/porovnanie-kurzov/home-away/zakladny-cas,2.0
https://www.flashscore.sk/zapas/8fcTWH57/#/porovnanie-kurzov/,11.86
https://www.flashscore.sk/zapas/8fcTWH57/#/porovnanie-kurzov/,13.07
https://www.flashscore.sk/zapas/Ew5qSmtI/#/porovnanie-kurzov/,5.68
https://www.flashscore.sk/zapas/pdpEwFcq/#/porovnanie-kurzov/home-away/zakladny-cas,2.22
https://www.flashscore.sk/zapas/6un4v0ih/#/porovnanie-kurzov/home-away/zakladny-cas,3.87
https://www.flashscore.sk/zapas/6un4v0ih/#/porovnanie-kurzov/home-away/zakladny-cas,4.14
https://www.flashscore.sk/zapas/buY4DSKt/#/porovnanie-kurzov/home-away/zakladny-cas,3.36
https://www.flashscore.sk/zapas/tWqiTEE7/#/porovnanie-kurzov/home-away/zakladny-cas,4.86
https://www.flashscore.sk/zapas/SpZIQLh9/#/porovnanie-kurzov/home-away/zakladny-cas,1.03
