match,value
https://www.flashscore.sk/zapas/8bLwpEr8/#/porovnanie-kurzov/,1.47
https://www.flashscore.sk/zapas/8baoTH4g/#/porovnanie-kurzov/,4.52
https://www.flashscore.sk/zapas/nT4AAChc/#/porovnanie-kurzov/,1.32
https://www.flashscore.sk/zapas/nglENHRu/#/porovnanie-kurzov/,1.93
https://www.flashscore.sk/zapas/C0VSNJTr/#/porovnanie-kurzov/,4.9
https://www.flashscore.sk/zapas/IFwQqwvF/#/porovnanie-kurzov/,1.96
https://www.flashscore.sk/zapas/0vqLpJO8/#/porovnanie-kurzov/,3.16
https://www.flashscore.sk/zapas/2JNn7gME/#/porovnanie-kurzov/,1.96
https://www.flashscore.sk/zapas/fegRzA5f/#/porovnanie-kurzov/,1.4
https://www.flashscore.sk/zapas/0W0N7iK2/#/porovnanie-kurzov/,4.56
https://www.flashscore.sk/zapas/GQgKqFA0/#/porovnanie-kurzov/,3.88
https://www.flashscore.sk/zapas/UR6xL8vi/#/porovnanie-kurzov/,4.12
https://www.flashscore.sk/zapas/AsrhZ9LK/#/porovnanie-kurzov/,3.05
https://www.flashscore.sk/zapas/YBLjBkGt/#/porovnanie-kurzov/,1.38
https://www.flashscore.sk/zapas/jqAuicIQ/#/porovnanie-kurzov/,3.88
https://www.flashscore.sk/zapas/UqpJe9I8/#/porovnanie-kurzov/,1.12
https://www.flashscore.sk/zapas/Odfzzv9B/#/porovnanie-kurzov/,3.92
https://www.flashscore.sk/zapas/fR9a9Tpg/#/porovnanie-kurzov/,1.13
https://www.flashscore.sk/zapas/0rZ5NCM8/#/porovnanie-kurzov/,1.75
https://www.flashscore.sk/zapas/Srhv49JR/#/porovnanie-kurzov/,1.16
https://www.flashscore.sk/zapas/pl4n3G7r/#/porovnanie-kurzov/,1.1
https://www.flashscore.sk/zapas/vkpxh7Qs/#/porovnanie-kurzov/,2.63
https://www.flashscore.sk/zapas/WA5QTi5E/#/porovnanie-kurzov/,1.41
https://www.flashscore.sk/zapas/OUqdWbFR/#/porovnanie-kurzov/,1.86
https://www.flashscore.sk/zapas/tpuALTCf/#/porovnanie-kurzov/,1.41
https://www.flashscore.sk/zapas/ANBO9WDr/#/porovnanie-kurzov/,1.27
https://www.flashscore.sk/zapas/WA5QTi5E/#/porovnanie-kurzov/,1.44
https://www.flashscore.sk/zapas/rmtsinVO/#/porovnanie-kurzov/,4.65
https://www.flashscore.sk/zapas/4pBS8jTl/#/porovnanie-kurzov/,1.12
https://www.flashscore.sk/zapas/fcvN20oa/#/porovnanie-kurzov/,1.39
https://www.flashscore.sk/zapas/vcIVxHLa/#/porovnanie-kurzov/,2.76
https://www.flashscore.sk/zapas/tWmiJYlb/#/porovnanie-kurzov/,1.52
https://www.flashscore.sk/zapas/zVKU1XJN/#/porovnanie-kurzov/,1.98
https://www.flashscore.sk/zapas/8IkqLfKo/#/porovnanie-kurzov/,2.9
https://www.flashscore.sk/zapas/n9lmKEZi/#/porovnanie-kurzov/,1.52
https://www.flashscore.sk/zapas/AVe7RkUt/#/porovnanie-kurzov/,3.22
https://www.flashscore.sk/zapas/UiKY0iZT/#/porovnanie-kurzov/,1.1
